시도,연월,KB_매수우위지수,KB_매매거래지수,KB_전세수급지수,연도,월
강원,2023-06,34.77267714,6.50414369,129.01152924,2023,6
경기,2023-06,30.69346058,15.22086397,80.98570915,2023,6
경남,2023-06,35.25080221,11.561337,109.69172854,2023,6
경북,2023-06,32.37523166,18.52018671,117.78647558,2023,6
광주,2023-06,9.59821604,7.22833691,75.60836944,2023,6
대구,2023-06,15.19020872,9.19607938,51.5847518,2023,6
대전,2023-06,28.06736306,11.4229805,98.69347025,2023,6
부산,2023-06,16.74777339,6.01655316,71.67436301,2023,6
서울,2023-06,33.8084391,12.52422856,90.13595734,2023,6
세종,2023-06,41.17647062,23.52941177,100.0,2023,6
울산,2023-06,31.99929317,10.41891215,86.65077458,2023,6
인천,2023-06,21.77074824,13.33775746,63.92527477,2023,6
전남,2023-06,17.11182035,4.85027397,116.42492884,2023,6
전북,2023-06,38.32638493,7.577243,108.53318815,2023,6
제주,2023-06,26.02205351,4.08821402,115.05513392,2023,6
충남,2023-06,29.04762145,15.97042296,109.16953326,2023,6
충북,2023-06,33.10723998,11.09657573,121.8166604,2023,6
강원,2023-07,45.2385205,5.84323749,142.41296898,2023,7
경기,2023-07,32.09022606,12.56342201,87.73597853,2023,7
경남,2023-07,27.32186636,12.59096212,108.08033818,2023,7
경북,2023-07,35.37053021,11.701145,121.6209221,2023,7
광주,2023-07,19.34092726,7.14640847,94.12570697,2023,7
대구,2023-07,12.97622874,6.22247876,55.72520358,2023,7
대전,2023-07,42.92860172,11.16574989,115.76620896,2023,7
부산,2023-07,15.39454937,4.04499759,79.52428922,2023,7
서울,2023-07,38.0390547,12.46204873,97.16853545,2023,7
세종,2023-07,48.14814816,24.07407403,114.81481477,2023,7
울산,2023-07,31.37360238,16.43213211,89.77588959,2023,7
인천,2023-07,25.30653074,12.34335405,76.33006969,2023,7
전남,2023-07,26.12546773,4.47260087,127.95829889,2023,7
전북,2023-07,26.82022846,7.67039805,110.61340788,2023,7
제주,2023-07,50.46836261,7.50447027,109.56739955,2023,7
충남,2023-07,33.67438122,12.54806671,111.00418593,2023,7
충북,2023-07,14.94422912,10.87152433,113.09787228,2023,7
강원,2023-08,50.94679578,8.513463,151.44307483,2023,8
경기,2023-08,33.61077979,14.47422965,102.64352755,2023,8
경남,2023-08,30.11196353,15.65995546,119.0267067,2023,8
경북,2023-08,30.20227307,11.56041242,126.70045402,2023,8
