시군구코드,시군구,시도코드,시도,연도,총인구,남자인구,여자인구,20대,남_20대,여_20대,30대,남_30대,여_30대,40대,남_40대,여_40대,50대이상,남_50대이상,여_50대이상
51110,춘천시,51,강원,2023,286426,141419,145007,36972,19722,17250,34305,17847,16458,40807,20109,20698,129365,60580,68785
51110,춘천시,51,강원,2024,286069,141225,144844,36582,19618,16964,34457,17981,16476,39478,19438,20040,131605,61599,70006
51190,태백시,51,강원,2011,50176,25520,24656,5417,2949,2468,7383,3912,3471,7771,4221,3550,19621,9251,10370
51190,태백시,51,강원,2012,49493,25123,24370,5002,2729,2273,7101,3718,3383,7688,4179,3509,19992,9442,10550
51190,태백시,51,강원,2013,48794,24783,24011,4699,2608,2091,6673,3485,3188,7711,4177,3534,20334,9611,10723
51190,태백시,51,강원,2014,48258,24509,23749,4615,2566,2049,6214,3206,3008,7656,4151,3505,20669,9795,10874
51190,태백시,51,강원,2015,47501,24128,23373,4535,2511,2024,5805,2997,2808,7557,4147,3410,20882,9903,10979
51190,태백시,51,강원,2016,47070,23899,23171,4511,2488,2023,5465,2845,2620,7414,4074,3340,21374,10118,11256
51190,태백시,51,강원,2017,45888,23196,22692,4259,2332,1927,5071,2626,2445,7239,3960,3279,21527,10194,11333
51190,태백시,51,강원,2018,44858,22612,22246,4067,2227,1840,4600,2384,2216,6952,3744,3208,21804,10382,11422
51190,태백시,51,강원,2019,43866,22168,21698,3859,2173,1686,4224,2218,2006,6655,3559,3096,22206,10623,11583
51190,태백시,51,강원,2020,42719,21640,21079,3679,2114,1565,3779,1988,1791,6434,3432,3002,22422,10774,11648
51190,태백시,51,강원,2021,40844,20656,20188,3452,1994,1458,3296,1750,1546,6095,3244,2851,22035,10561,11474
51190,태백시,51,강원,2022,39428,19881,19547,3210,1848,1362,2983,1605,1378,5781,3031,2750,21891,10475,11416
51190,태백시,51,강원,2023,38702,19476,19226,3053,1767,1286,2844,1534,1310,5531,2904,2627,22066,10556,11510
51190,태백시,51,강원,2024,37936,19180,18756,2790,1636,1154,2752,1528,1224,5206,2731,2475,22235,10703,11532
51760,평창군,51,강원,2011,43577,22334,21243,4300,2364,1936,5196,2854,2342,6932,3799,3133,19469,9215,10254
51760,평창군,51,강원,2012,43627,22305,21322,4160,2282,1878,5014,2704,2310,6728,3728,3000,20286,9630,10656
51760,평창군,51,강원,2013,43666,22298,21368,4018,2204,1814,4830,2603,2227,6772,3739,3033,20888,9944,10944
51760,평창군,51,강원,2014,43660,22257,21403,3953,2180,1773,4583,2486,2097,6759,3718,3041,21464,10233,11231
51760,평창군,51,강원,2015,43500,22204,21296,3883,2178,1705,4351,2365,1986,6631,3650,2981,22090,10595,11495
51760,평창군,51,강원,2016,43318,22126,21192,3840,2169,1671,4122,2208,1914,6502,3583,2919,22576,10916,11660
51760,평창군,51,강원,2017,43092,22021,21071,3769,2105,1664,3916,2098,1818,6247,3428,2819,23226,11288,11938
51760,평창군,51,강원,2018,42610,21771,20839,3660,2082,1578,3650,1964,1686,5860,3216,2644,23851,11629,12222
51760,평창군,51,강원,2019,42106,21550,20556,3468,1974,1494,3427,1866,1561,5526,3041,2485,24512,11987,12525
51760,평창군,51,강원,2020,41681,21321,20360,3415,1992,1423,3098,1664,1434,5341,2910,2431,25052,12298,12754
51760,평창군,51,강원,2021,40996,21091,19905,3240,1920,1320,2824,1532,1292,5053,2775,2278,25440,12569,12871
51760,평창군,51,강원,2022,40990,21176,19814,3104,1872,1232,2717,1463,1254,4845,2635,2210,26036,12979,13057
51760,평창군,51,강원,2023,40659,21056,19603,3034,1835,1199,2690,1485,1205,4496,2426,2070,26403,13235,13168
51760,평창군,51,강원,2024,40396,20955,19441,2877,1745,1132,2670,1494,1176,4284,2318,1966,26661,13382,13279
51720,홍천군,51,강원,2011,69899,35639,34260,7547,4274,3273,8357,4501,3856,10910,5931,4979,29749,14061,15688
51720,홍천군,51,강원,2012,69727,35548,34179,7298,4122,3176,8082,4358,3724,10595,5728,4867,30839,14665,16174
51720,홍천군,51,강원,2013,70638,36181,34457,7604,4463,3141,8032,4305,3727,10495,5677,4818,31879,15230,16649
51720,홍천군,51,강원,2014,70451,35996,34455,7457,4314,3143,7664,4112,3552,10295,5537,4758,32923,15817,17106
51720,홍천군,51,강원,2015,70336,35906,34430,7263,4190,3073,7348,3966,3382,10038,5370,4668,33954,16391,17563
51720,홍천군,51,강원,2016,70076,35738,34338,7056,4056,3000,7102,3844,3258,9748,5228,4520,34997,16912,18085
51720,홍천군,51,강원,2017,70340,35855,34485,7073,4034,3039,6886,3748,3138,9494,5102,4392,36198,17500,18698
51720,홍천군,51,강원,2018,69949,35671,34278,6796,3911,2885,6720,3620,3100,9001,4846,4155,37217,18065,19152
51720,홍천군,51,강원,2019,69150,35359,33791,6583,3838,2745,6330,3436,2894,8567,4613,3954,38080,18581,19499
51720,홍천군,51,강원,2020,69242,35663,33579,6875,4185,2690,6139,3367,2772,8297,4457,3840,38951,19070,19881
51720,홍천군,51,강원,2021,68365,35184,33181,6495,3938,2557,5720,3114,2606,7973,4261,3712,39680,19557,20123
51720,홍천군,51,강원,2022,67977,34954,33023,6126,3683,2443,5632,3091,2541,7706,4117,3589,40380,19927,20453
51720,홍천군,51,강원,2023,67309,34655,32654,5752,3433,2319,5544,3084,2460,7349,3930,3419,40927,20280,20647
