시도코드,시도,연도,총인구,남자인구,여자인구,20대,남_20대,여_20대,30대,남_30대,여_30대,40대,남_40대,여_40대,50대이상,남_50대이상,여_50대이상
27,대구,2018,2461769,1219342,1242427,330845,179001,151844,317978,162884,155094,404270,199424,204846,964051,446866,517185
27,대구,2019,2438031,1205286,1232745,323641,174194,149447,305986,157920,148066,393387,194076,199311,989507,458214,531293
27,대구,2020,2418346,1193109,1225237,321534,171675,149859,294310,153070,141240,383839,189358,194481,1014539,469618,544921
27,대구,2021,2385412,1175632,1209780,308921,164484,144437,284865,149452,135413,372555,183962,188593,1032711,477864,554847
27,대구,2022,2363691,1162865,1200826,294363,156048,138315,279457,147977,131480,363802,179475,184327,1050807,485907,564900
27,대구,2023,2374960,1166803,1208157,282470,148961,133509,279965,149088,130877,356114,176398,179716,1091887,504680,587207
27,대구,2024,2363629,1159601,1204028,268100,140840,127260,282632,150942,131690,344645,171028,173617,1113586,514436,599150
30,대전,2011,1515603,759188,756415,211866,110297,101569,252784,126585,126199,266938,133873,133065,413965,194973,218992
30,대전,2012,1524583,763671,760912,209445,109571,99874,250711,125466,125245,266856,133809,133047,434479,205118,229361
30,대전,2013,1532811,767309,765502,208751,109820,98931,245953,123249,122704,271990,136066,135924,450207,212885,237322
30,대전,2014,1531809,766497,765312,210031,110952,99079,237696,119280,118416,271600,135742,135858,467624,221385,246239
30,대전,2015,1518775,759778,758997,210749,111865,98884,228720,115320,113400,267008,133408,133600,482285,228223,254062
30,대전,2016,1514370,757289,757081,212796,112845,99951,222879,113005,109874,264265,131447,132818,496438,235326,261112
30,대전,2017,1502227,750969,751258,213973,113198,100775,215284,109794,105490,258705,128829,129876,511042,242145,268897
30,대전,2018,1489936,744338,745598,213955,112938,101017,209040,107185,101855,249652,124552,125100,528255,250146,278109
30,대전,2019,1474870,736607,738263,212629,112059,100570,200480,103621,96859,242481,121088,121393,544272,257801,286471
30,대전,2020,1463882,730699,733183,212488,111421,101067,194088,101293,92795,237216,118238,118978,559125,265148,293977
30,대전,2021,1452251,724626,727625,209397,109664,99733,189669,99378,90291,231018,115072,115946,572444,271690,300754
30,대전,2022,1446072,721245,724827,203887,106826,97061,187991,98898,89093,226654,112804,113850,585019,277645,307374
30,대전,2023,1442216,719292,722924,199228,104190,95038,187965,99375,88590,220131,109916,110215,600329,284794,315535
30,대전,2024,1439157,717291,721866,193470,100960,92510,190937,101412,89525,213110,106520,106590,614514,291429,323085
26,부산,2011,3550963,1762848,1788115,480582,250784,229798,536575,273404,263171,595353,294206,301147,1243631,577644,665987
26,부산,2012,3538484,1754479,1784005,466774,244624,222150,529358,269708,259650,583569,288954,294615,1286027,597188,688839
26,부산,2013,3527635,1747000,1780635,458642,241483,217159,518059,264277,253782,580809,287582,293227,1318695,612284,706411
26,부산,2014,3519401,1740417,1778984,456897,240890,216007,504816,257595,247221,576487,286145,290342,1350665,626684,723981
26,부산,2015,3513777,1735570,1778207,456514,240807,215707,493958,252411,241547,568218,282846,285372,1382357,640570,741787
26,부산,2016,3498529,1725607,1772922,455199,240023,215176,483516,247173,236343,558328,277750,280578,1409189,653399,755790
